,year,month,sales,iso_alpha,consumer_price,populations,gdp
4714,2020,5,178,SGP,115.07502794996932,5608393.333333333,373527093970.66296
4773,2020,6,1595,SGP,115.29436926501292,5589039.916666667,379810844789.5245
4829,2020,7,5654,SGP,115.5137105800565,5569686.5,386094595608.386
4888,2020,8,6197,SGP,115.73305189510008,5550333.083333333,392378346427.2475
4954,2020,9,5644,SGP,115.95239321014367,5530979.666666667,398662097246.109
5014,2020,10,5661,SGP,116.17173452518725,5511626.25,404945848064.97046
5076,2020,11,5434,SGP,116.39107584023083,5492272.833333333,411229598883.832
5136,2020,12,4784,SGP,116.61041715527442,5472919.416666667,417513349702.6935
5195,2021,1,6551,SGP,116.829758470318,5453566.0,423797100521.555
5259,2021,2,4639,SGP,122.84140446296715,5468854.0,427379711044.08923
5319,2021,3,6595,SGP,128.85305045561628,5484142.0,430962321566.6235
5378,2021,4,4986,SGP,134.86469644826542,5499430.0,434544932089.1577
5442,2021,5,4441,SGP,140.87634244091458,5514718.0,438127542611.692
5497,2021,6,5346,SGP,146.88798843356372,5530006.0,441710153134.22626
5558,2021,7,4339,SGP,152.89963442621286,5545294.0,445292763656.7605
5612,2021,8,4277,SGP,158.91128041886202,5560582.0,448875374179.29474
5668,2021,9,4773,SGP,164.92292641151116,5575870.0,452457984701.829
5727,2021,10,3787,SGP,170.9345724041603,5591158.0,456040595224.3633
5782,2021,11,3705,SGP,176.94621839680943,5606446.0,459623205746.8975
5837,2021,12,3814,SGP,182.95786438945856,5621734.0,463205816269.43176
5896,2022,1,3712,SGP,188.96951038210773,5637022.0,466788426791.966
5957,2022,2,2863,SGP,189.2756323680184,7827732.817565164,463654020832.2393
6014,2022,3,3634,SGP,189.58175435392909,10018443.635130327,460519614872.5127
6072,2022,4,3488,SGP,189.88787633983975,12209154.452695489,457385208912.786
6130,2022,5,3685,SGP,190.1939983257504,14399865.270260653,454250802953.0594
6186,2022,6,4105,SGP,190.5001203116611,16590576.087825816,451116396993.3327
6245,2022,7,3342,SGP,190.80624229757177,18781286.905390978,447981991033.6061
6299,2022,8,3322,SGP,191.11236428348244,20971997.722956143,444847585073.8794
6357,2022,9,3402,SGP,191.41848626939313,23162708.540521305,441713179114.1527
6414,2022,10,3262,SGP,191.7246082553038,25353419.358086467,438578773154.4261
6469,2022,11,3355,SGP,192.03073024121446,27544130.175651632,435444367194.6994
6524,2022,12,3350,SGP,192.33685222712515,29734840.993216794,432309961234.9728
6584,2023,1,2372,SGP,192.6429742130358,31925551.810781956,429175555275.2461
6639,2023,2,3062,SGP,192.6429742130358,31925551.810781956,429175555275.2461
6695,2023,3,4259,SGP,192.6429742130358,31925551.810781956,429175555275.2461
6752,2023,4,2385,SGP,192.6429742130358,31925551.810781956,429175555275.2461
6808,2023,5,2515,SGP,192.6429742130358,31925551.810781956,429175555275.2461
6863,2023,6,2746,SGP,192.6429742130358,31925551.810781956,429175555275.2461
6916,2023,7,2809,SGP,192.6429742130358,31925551.810781956,429175555275.2461
6969,2023,8,3060,SGP,192.6429742130358,31925551.810781956,429175555275.2461
7021,2023,9,2885,SGP,192.6429742130358,31925551.810781956,429175555275.2461
47,2014,1,5796,SVK,109.091413049504,5418649.0,101437045019.901
107,2014,2,5730,SVK,109.06184747861133,5419078.333333333,100392364862.47903
166,2014,3,6459,SVK,109.03228190771867,5419507.666666667,99347684705.05707
224,2014,4,6385,SVK,109.002716336826,5419937.0,98303004547.6351
284,2014,5,6652,SVK,108.97315076593333,5420366.333333333,97258324390.21313
341,2014,6,7337,SVK,108.94358519504067,5420795.666666667,96213644232.79117
400,2014,7,7205,SVK,108.914019624148,5421225.0,95168964075.3692
459,2014,8,5609,SVK,108.88445405325533,5421654.333333333,94124283917.94724
517,2014,9,5827,SVK,108.85488848236267,5422083.666666667,93079603760.52527
576,2014,10,7791,SVK,108.82532291147,5422513.0,92034923603.1033
635,2014,11,5926,SVK,108.79575734057732,5422942.333333333,90990243445.68134
695,2014,12,6697,SVK,108.76619176968467,5423371.666666667,89945563288.25937
755,2015,1,4947,SVK,108.736626198792,5423801.0,88900883130.8374
815,2015,2,5729,SVK,108.68950607018175,5424384.083333333,88988534497.00879
875,2015,3,7270,SVK,108.64238594157149,5424967.166666667,89076185863.18018
937,2015,4,7086,SVK,108.59526581296124,5425550.25,89163837229.35155
998,2015,5,7116,SVK,108.548145684351,5426133.333333333,89251488595.52293
1059,2015,6,7992,SVK,108.50102555574075,5426716.416666667,89339139961.69432
1119,2015,7,7596,SVK,108.45390542713051,5427299.5,89426791327.86569
1179,2015,8,7284,SVK,108.40678529852025,5427882.583333333,89514442694.03708
1241,2015,9,6586,SVK,108.35966516991,5428465.666666667,89602094060.20847
1302,2015,10,7440,SVK,108.31254504129976,5429048.75,89689745426.37985
1362,2015,11,7780,SVK,108.2654249126895,5429631.833333333,89777396792.55124
1423,2015,12,8054,SVK,108.21830478407925,5430214.916666667,89865048158.72261
1486,2016,1,5988,SVK,108.171184655469,5430798.0,89952699524.894
1545,2016,2,7310,SVK,108.28944693903975,5431500.833333333,90427471752.90118
1607,2016,3,8499,SVK,108.4077092226105,5432203.666666667,90902243980.90836
1670,2016,4,7886,SVK,108.52597150618125,5432906.5,91377016208.91554
1728,2016,5,9014,SVK,108.64423378975201,5433609.333333333,91851788436.92273
1790,2016,6,9063,SVK,108.76249607332275,5434312.166666667,92326560664.92992
1853,2016,7,7275,SVK,108.8807583568935,5435015.0,92801332892.9371
1912,2016,8,7801,SVK,108.99902064046425,5435717.833333333,93276105120.94427
1973,2016,9,7541,SVK,109.117282924035,5436420.666666667,93750877348.95146
2033,2016,10,8106,SVK,109.23554520760575,5437123.5,94225649576.95865
2095,2016,11,8421,SVK,109.3538074911765,5437826.333333333,94700421804.96582
2154,2016,12,8618,SVK,109.47206977474725,5438529.166666667,95175194032.973
2222,2017,1,5896,SVK,109.590332058318,5439232.0,95649966260.9802
2280,2017,2,8967,SVK,109.81992719478158,5439860.25,96523962740.53127
2347,2017,3,9751,SVK,110.04952233124516,5440488.5,97397959220.08234
2409,2017,4,7807,SVK,110.27911746770874,5441116.75,98271955699.63339
2470,2017,5,9964,SVK,110.50871260417233,5441745.0,99145952179.18446
2532,2017,6,10274,SVK,110.73830774063592,5442373.25,100019948658.73553
2598,2017,7,8504,SVK,110.9679028770995,5443001.5,100893945138.28659
2658,2017,8,7846,SVK,111.19749801356308,5443629.75,101767941617.83766
2717,2017,9,7862,SVK,111.42709315002666,5444258.0,102641938097.38873
2779,2017,10,9130,SVK,111.65668828649025,5444886.25,103515934576.9398
2843,2017,11,8956,SVK,111.88628342295382,5445514.5,104389931056.49088
2905,2017,12,8652,SVK,112.11587855941741,5446142.75,105263927536.04193
2968,2018,1,8565,SVK,112.345473695881,5446771.0,106137924015.593
3029,2018,2,8343,SVK,112.59493320028817,5447385.666666667,106102403696.00734
3093,2018,3,9276,SVK,112.84439270469534,5448000.333333333,106066883376.42166
3154,2018,4,9169,SVK,113.0938522091025,5448615.0,106031363056.836
3215,2018,5,10512,SVK,113.34331171350966,5449229.666666667,105995842737.25034
3278,2018,6,10408,SVK,113.59277121791683,5449844.333333333,105960322417.66467
3340,2018,7,9349,SVK,113.84223072232399,5450459.0,105924802098.07901
3399,2018,8,11360,SVK,114.09169022673116,5451073.666666667,105889281778.49333
3467,2018,9,5227,SVK,114.34114973113833,5451688.333333333,105853761458.90767
3525,2018,10,8915,SVK,114.5906092355455,5452303.0,105818241139.322
3586,2018,11,9340,SVK,114.84006873995267,5452917.666666667,105782720819.73633
3649,2018,12,6715,SVK,115.08952824435983,5453532.333333333,105747200500.15067
3714,2019,1,7703,SVK,115.338987748767,5454147.0,105711680180.565
3774,2019,2,8138,SVK,115.52515845298191,5454537.0,105796663736.80925
3837,2019,3,9819,SVK,115.71132915719683,5454927.0,105881647293.0535
3897,2019,4,9665,SVK,115.89749986141175,5455317.0,105966630849.29776
3959,2019,5,10732,SVK,116.08367056562666,5455707.0,106051614405.542
4021,2019,6,10205,SVK,116.26984126984158,5456097.0,106136597961.78625
4082,2019,7,10160,SVK,116.45601197405651,5456487.0,106221581518.0305
4142,2019,8,11232,SVK,116.64218267827142,5456877.0,106306565074.27475
4212,2019,9,5064,SVK,116.82835338248634,5457267.0,106391548630.519
4267,2019,10,10370,SVK,117.01452408670126,5457657.0,106476532186.76324
4331,2019,11,8664,SVK,117.20069479091617,5458047.0,106561515743.0075
4394,2019,12,8247,SVK,117.38686549513109,5458437.0,106646499299.25175
4458,2020,1,5975,SVK,117.573036199346,5458827.0,106731482855.496
4519,2020,2,6279,SVK,117.8816268455385,5457862.0,107718566162.75325
4583,2020,3,4339,SVK,118.190217491731,5456897.0,108705649470.0105
4628,2020,4,2951,SVK,118.4988081379235,5455932.0,109692732777.26775
4701,2020,5,3779,SVK,118.807398784116,5454967.0,110679816084.525
4762,2020,6,6690,SVK,119.1159894303085,5454002.0,111666899391.78224
4828,2020,7,7121,SVK,119.424580076501,5453037.0,112653982699.03949
4890,2020,8,6050,SVK,119.7331707226935,5452072.0,113641066006.29675
4952,2020,9,5719,SVK,120.041761368886,5451107.0,114628149313.554
5013,2020,10,5917,SVK,120.3503520150785,5450142.0,115615232620.81125
5075,2020,11,6116,SVK,120.658942661271,5449177.0,116602315928.0685
5134,2020,12,6224,SVK,120.9675333074635,5448212.0,117589399235.32574
5201,2021,1,3685,SVK,121.276123953656,5447247.0,118576482542.583
5257,2021,2,6056,SVK,127.15688132316167,5445955.75,118316918304.7815
5317,2021,3,7375,SVK,133.03763869266734,5444664.5,118057354066.98
5377,2021,4,7395,SVK,138.91839606217303,5443373.25,117797789829.1785
5435,2021,5,8655,SVK,144.79915343167872,5442082.0,117538225591.377
5494,2021,6,8965,SVK,150.67991080118438,5440790.75,117278661353.5755
5552,2021,7,8322,SVK,156.56066817069006,5439499.5,117019097115.77399
5609,2021,8,7400,SVK,162.44142554019572,5438208.25,116759532877.97249
5666,2021,9,6468,SVK,168.3221829097014,5436917.0,116499968640.17099
5723,2021,10,6297,SVK,174.2029402792071,5435625.75,116240404402.36949
5779,2021,11,6314,SVK,180.08369764871276,5434334.5,115980840164.568
5833,2021,12,6412,SVK,185.96445501821844,5433043.25,115721275926.7665
5891,2022,1,6224,SVK,191.84521238772413,5431752.0,115461711688.965
5951,2022,2,6726,SVK,192.1513343736348,7551301.3813261,141974030252.56378
6009,2022,3,8201,SVK,192.4574563595455,9670850.7626522,168486348816.16257
6067,2022,4,6679,SVK,192.76357834545615,11790400.143978298,194998667379.76135
6124,2022,5,7233,SVK,193.06970033136682,13909949.525304398,221510985943.36014
6181,2022,6,9206,SVK,193.3758223172775,16029498.906630497,248023304506.95892
6238,2022,7,6698,SVK,193.68194430318817,18149048.287956595,274535623070.5577
6296,2022,8,7265,SVK,193.98806628909884,20268597.669282697,301047941634.1565
6353,2022,9,5795,SVK,194.29418827500953,22388147.050608795,327560260197.75525
6408,2022,10,8078,SVK,194.6003102609202,24507696.431934893,354072578761.35406
6465,2022,11,7252,SVK,194.90643224683086,26627245.813260995,380584897324.9529
6521,2022,12,7132,SVK,195.21255423274155,28746795.194587093,407097215888.55164
6575,2023,1,7068,SVK,195.51867621865222,30866344.57591319,433609534452.1504
6630,2023,2,7036,SVK,195.51867621865222,30866344.57591319,433609534452.1504
6687,2023,3,9449,SVK,195.51867621865222,30866344.57591319,433609534452.1504
6743,2023,4,7492,SVK,195.51867621865222,30866344.57591319,433609534452.1504
6798,2023,5,8934,SVK,195.51867621865222,30866344.57591319,433609534452.1504
6852,2023,6,9180,SVK,195.51867621865222,30866344.57591319,433609534452.1504
6905,2023,7,8826,SVK,195.51867621865222,30866344.57591319,433609534452.1504
6961,2023,8,8326,SVK,195.51867621865222,30866344.57591319,433609534452.1504
7016,2023,9,7635,SVK,195.51867621865222,30866344.57591319,433609534452.1504
50,2014,1,4639,SVN,106.506864432967,2061980.0,49997186439.0916
112,2014,2,4041,SVN,106.46021866125167,2062109.25,49423046404.52775
170,2014,3,5100,SVN,106.41357288953634,2062238.5,48848906369.9639
229,2014,4,4867,SVN,106.366927117821,2062367.75,48274766335.40005
289,2014,5,4730,SVN,106.32028134610567,2062497.0,47700626300.8362
345,2014,6,4825,SVN,106.27363557439034,2062626.25,47126486266.27235
406,2014,7,4598,SVN,106.226989802675,2062755.5,46552346231.708496
465,2014,8,3298,SVN,106.18034403095966,2062884.75,45978206197.14465
523,2014,9,4423,SVN,106.13369825924433,2063014.0,45404066162.5808
580,2014,10,5124,SVN,106.087052487529,2063143.25,44829926128.01695
641,2014,11,4213,SVN,106.04040671581366,2063272.5,44255786093.4531
701,2014,12,3369,SVN,105.99376094409833,2063401.75,43681646058.88925
754,2015,1,5129,SVN,105.947115172383,2063531.0,43107506024.3254
818,2015,2,4540,SVN,105.94225930340316,2063656.9166666667,43245774088.18017
879,2015,3,5946,SVN,105.93740343442333,2063782.8333333333,43384042152.034935
940,2015,4,5339,SVN,105.9325475654435,2063908.75,43522310215.8897
1001,2015,5,5376,SVN,105.92769169646367,2064034.6666666667,43660578279.74447
1061,2015,6,5430,SVN,105.92283582748384,2064160.5833333333,43798846343.599236
1122,2015,7,5084,SVN,105.91797995850399,2064286.5,43937114407.454
1184,2015,8,3985,SVN,105.91312408952416,2064412.4166666667,44075382471.30877
1245,2015,9,4531,SVN,105.90826822054433,2064538.3333333333,44213650535.163536
1304,2015,10,5441,SVN,105.9034123515645,2064664.25,44351918599.0183
1366,2015,11,5083,SVN,105.89855648258467,2064790.1666666667,44490186662.87307
1430,2015,12,3301,SVN,105.89370061360484,2064916.0833333333,44628454726.72784
1487,2016,1,5891,SVN,105.888844744625,2065042.0,44766722790.5826
1549,2016,2,4762,SVN,106.01495019055567,2065154.1666666667,45085254228.292
1610,2016,3,6099,SVN,106.14105563648634,2065266.3333333333,45403785666.0014
1672,2016,4,5472,SVN,106.267161082417,2065378.5,45722317103.7108
1732,2016,5,6325,SVN,106.39326652834767,2065490.6666666667,46040848541.420204
1792,2016,6,6492,SVN,106.51937197427834,2065602.8333333333,46359379979.1296
1855,2016,7,5062,SVN,106.645477420209,2065715.0,46677911416.839005
1916,2016,8,3942,SVN,106.77158286613967,2065827.1666666667,46996442854.5484
1976,2016,9,5039,SVN,106.89768831207034,2065939.3333333333,47314974292.2578
2037,2016,10,5241,SVN,107.023793758001,2066051.5,47633505729.9672
2098,2016,11,5347,SVN,107.14989920393167,2066163.6666666667,47952037167.6766
2161,2016,12,4085,SVN,107.27600464986234,2066275.8333333333,48270568605.386
2220,2017,1,6479,SVN,107.402110095793,2066388.0,48589100043.0954
2285,2017,2,5684,SVN,107.55771862446475,2067013.5,49054831908.32437
2349,2017,3,6551,SVN,107.7133271531365,2067639.0,49520563773.553345
2412,2017,4,6004,SVN,107.86893568180825,2068264.5,49986295638.782326
2475,2017,5,6791,SVN,108.02454421048,2068890.0,50452027504.0113
2536,2017,6,7558,SVN,108.18015273915175,2069515.5,50917759369.24027
2600,2017,7,5314,SVN,108.3357612678235,2070141.0,51383491234.46925
2664,2017,8,4500,SVN,108.49136979649525,2070766.5,51849223099.69823
2724,2017,9,5285,SVN,108.646978325167,2071392.0,52314954964.9272
2785,2017,10,6451,SVN,108.80258685383875,2072017.5,52780686830.15617
2847,2017,11,6297,SVN,108.9581953825105,2072643.0,53246418695.38515
2911,2017,12,4040,SVN,109.11380391118225,2073268.5,53712150560.61413
2970,2018,1,6846,SVN,109.269412439854,2073894.0,54177882425.8431
3033,2018,2,5659,SVN,109.41788431260075,2075101.5833333333,54195280083.18688
3095,2018,3,7860,SVN,109.5663561853475,2076309.1666666667,54212677740.53067
3158,2018,4,6600,SVN,109.71482805809424,2077516.75,54230075397.87445
3220,2018,5,7309,SVN,109.863299930841,2078724.3333333333,54247473055.21823
3281,2018,6,7391,SVN,110.01177180358775,2079931.9166666667,54264870712.56202
3343,2018,7,6250,SVN,110.16024367633449,2081139.5,54282268369.9058
3407,2018,8,5644,SVN,110.30871554908124,2082347.0833333333,54299666027.24958
3468,2018,9,4896,SVN,110.457187421828,2083554.6666666667,54317063684.59337
3530,2018,10,5556,SVN,110.60565929457475,2084762.25,54334461341.93715
3592,2018,11,5201,SVN,110.7541311673215,2085969.8333333333,54351858999.28093
3655,2018,12,3646,SVN,110.90260304006824,2087177.4166666667,54369256656.62472
3715,2019,1,6778,SVN,111.051074912815,2088385.0,54386654313.9685
3776,2019,2,6179,SVN,111.04599832251792,2089554.5,54332310358.9902
3840,2019,3,7304,SVN,111.04092173222082,2090724.0,54277966404.0119
3903,2019,4,6439,SVN,111.03584514192374,2091893.5,54223622449.0336
3964,2019,5,7447,SVN,111.03076855162666,2093063.0,54169278494.0553
4025,2019,6,6966,SVN,111.02569196132958,2094232.5,54114934539.076996
4090,2019,7,5956,SVN,111.0206153710325,2095402.0,54060590584.098694
4151,2019,8,5005,SVN,111.01553878073541,2096571.5,54006246629.1204
4211,2019,9,5322,SVN,111.01046219043833,2097741.0,53951902674.1421
4274,2019,10,5983,SVN,111.00538560014125,2098910.5,53897558719.163795
4336,2019,11,5321,SVN,111.00030900984416,2100080.0,53843214764.1855
4398,2019,12,4479,SVN,110.99523241954708,2101249.5,53788870809.2072
4461,2020,1,5129,SVN,110.99015582925,2102419.0,53734526854.2289
4523,2020,2,4495,SVN,111.16746862078608,2102890.6666666665,54409333078.3622
4586,2020,3,2444,SVN,111.34478141232216,2103362.3333333335,55084139302.4955
4637,2020,4,1591,SVN,111.52209420385825,2103834.0,55758945526.6288
4700,2020,5,4198,SVN,111.69940699539433,2104305.6666666665,56433751750.7621
4766,2020,6,5535,SVN,111.87671978693041,2104777.3333333335,57108557974.8954
4830,2020,7,5264,SVN,112.05403257846649,2105249.0,57783364199.0287
4893,2020,8,3440,SVN,112.23134537000259,2105720.6666666665,58458170423.162
4956,2020,9,3617,SVN,112.40865816153867,2106192.3333333335,59132976647.295296
5016,2020,10,3889,SVN,112.58597095307475,2106664.0,59807782871.4286
5079,2020,11,3042,SVN,112.76328374461083,2107135.6666666665,60482589095.5619
5141,2020,12,2094,SVN,112.94059653614691,2107607.3333333335,61157395319.6952
5198,2021,1,4391,SVN,113.117909327683,2108079.0,61832201543.8285
5258,2021,2,4831,SVN,119.69563518986273,2108404.5833333335,61684807704.03818
5318,2021,3,7065,SVN,126.27336105204245,2108730.1666666665,61537413864.24785
5380,2021,4,4276,SVN,132.85108691422218,2109055.75,61390020024.45752
5438,2021,5,5258,SVN,139.4288127764019,2109381.3333333335,61242626184.6672
5498,2021,6,5168,SVN,146.00653863858162,2109706.9166666665,61095232344.87688
5556,2021,7,4419,SVN,152.58426450076135,2110032.5,60947838505.08655
5614,2021,8,3526,SVN,159.16199036294108,2110358.0833333335,60800444665.29622
5670,2021,9,4125,SVN,165.73971622512082,2110683.6666666665,60653050825.5059
5724,2021,10,4219,SVN,172.31744208730055,2111009.25,60505656985.715576
5781,2021,11,4121,SVN,178.89516794948025,2111334.8333333335,60358263145.92525
5839,2021,12,2543,SVN,185.47289381166,2111660.4166666665,60210869306.13492
5894,2022,1,4318,SVN,192.05061967383972,2111986.0,60063475466.3446
5954,2022,2,3801,SVN,192.35674165975038,4501877.743023306,91218706448.35754
6012,2022,3,4617,SVN,192.66286364566108,6891769.486046612,122373937430.3705
6070,2022,4,3913,SVN,192.96898563157174,9281661.229069918,153529168412.38345
6126,2022,5,4781,SVN,193.2751076174824,11671552.972093225,184684399394.3964
6184,2022,6,4380,SVN,193.5812296033931,14061444.71511653,215839630376.40936
6243,2022,7,3789,SVN,193.88735158930376,16451336.458139837,246994861358.4223
6298,2022,8,3337,SVN,194.19347357521443,18841228.201163143,278150092340.43524
6356,2022,9,3776,SVN,194.49959556112512,21231119.94418645,309305323322.4482
6413,2022,10,3428,SVN,194.80571754703578,23621011.687209755,340460554304.4612
6468,2022,11,3620,SVN,195.11183953294645,26010903.43023306,371615785286.4741
6526,2022,12,2523,SVN,195.41796151885714,28400795.173256367,402771016268.48706
6577,2023,1,4412,SVN,195.7240835047678,30790686.916279674,433926247250.5
